日期,日期标签
2025-01-01,节假日
2025-01-02,工作日
2025-01-03,工作日
2025-01-04,周末
2025-01-05,周末
2025-01-06,工作日
2025-01-07,工作日
2025-01-08,工作日
2025-01-09,工作日
2025-01-10,工作日
2025-01-11,周末
2025-01-12,周末
2025-01-13,工作日
2025-01-14,工作日
2025-01-15,工作日
2025-01-16,工作日
2025-01-17,工作日
2025-01-18,周末
2025-01-19,周末
2025-01-20,工作日
2025-01-21,工作日
2025-01-22,工作日
2025-01-23,工作日
2025-01-24,工作日
2025-01-25,周末
2025-01-26,工作日
2025-01-27,工作日
2025-01-28,节假日
2025-01-29,节假日
2025-01-30,节假日
2025-01-31,节假日
2025-02-01,节假日
2025-02-02,节假日
2025-02-03,节假日
2025-02-04,节假日
2025-02-05,工作日
2025-02-06,工作日
2025-02-07,工作日
2025-02-08,工作日
2025-02-09,周末
2025-02-10,工作日
2025-02-11,工作日
2025-02-12,工作日
2025-02-13,工作日
2025-02-14,工作日
2025-02-15,周末
2025-02-16,周末
2025-02-17,工作日
2025-02-18,工作日
2025-02-19,工作日
2025-02-20,工作日
2025-02-21,工作日
2025-02-22,周末
2025-02-23,周末
2025-02-24,工作日
2025-02-25,工作日
2025-02-26,工作日
2025-02-27,工作日
2025-02-28,工作日
2025-03-01,周末
2025-03-02,周末
2025-03-03,工作日
2025-03-04,工作日
2025-03-05,工作日
2025-03-06,工作日
2025-03-07,工作日
2025-03-08,周末
2025-03-09,周末
2025-03-10,工作日
2025-03-11,工作日
2025-03-12,工作日
2025-03-13,工作日
2025-03-14,工作日
2025-03-15,周末
2025-03-16,周末
2025-03-17,工作日
2025-03-18,工作日
2025-03-19,工作日
2025-03-20,工作日
2025-03-21,工作日
2025-03-22,周末
2025-03-23,周末
2025-03-24,工作日
2025-03-25,工作日
2025-03-26,工作日
2025-03-27,工作日
2025-03-28,工作日
2025-03-29,周末
2025-03-30,周末
2025-03-31,工作日
2025-04-01,工作日
2025-04-02,工作日
2025-04-03,工作日
2025-04-04,节假日
2025-04-05,节假日
2025-04-06,节假日
2025-04-07,工作日
2025-04-08,工作日
2025-04-09,工作日
2025-04-10,工作日
2025-04-11,工作日
2025-04-12,周末
2025-04-13,周末
2025-04-14,工作日
2025-04-15,工作日
2025-04-16,工作日
2025-04-17,工作日
2025-04-18,工作日
2025-04-19,周末
2025-04-20,周末
2025-04-21,工作日
2025-04-22,工作日
2025-04-23,工作日
2025-04-24,工作日
2025-04-25,工作日
2025-04-26,周末
2025-04-27,工作日
2025-04-28,工作日
2025-04-29,工作日
2025-04-30,工作日
2025-05-01,节假日
2025-05-02,节假日
2025-05-03,节假日
2025-05-04,节假日
2025-05-05,节假日
2025-05-06,工作日
2025-05-07,工作日
2025-05-08,工作日
2025-05-09,工作日
2025-05-10,周末
2025-05-11,周末
2025-05-12,工作日
2025-05-13,工作日
2025-05-14,工作日
2025-05-15,工作日
2025-05-16,工作日
2025-05-17,周末
2025-05-18,周末
2025-05-19,工作日
2025-05-20,工作日
2025-05-21,工作日
2025-05-22,工作日
2025-05-23,工作日
2025-05-24,周末
2025-05-25,周末
2025-05-26,工作日
2025-05-27,工作日
2025-05-28,工作日
2025-05-29,工作日
2025-05-30,工作日
2025-05-31,节假日
2025-06-01,节假日
2025-06-02,节假日
2025-06-03,工作日
2025-06-04,工作日
2025-06-05,工作日
2025-06-06,工作日
2025-06-07,周末
2025-06-08,周末
2025-06-09,工作日
2025-06-10,工作日
2025-06-11,工作日
2025-06-12,工作日
2025-06-13,工作日
2025-06-14,周末
2025-06-15,周末
2025-06-16,工作日
2025-06-17,工作日
2025-06-18,工作日
2025-06-19,工作日
2025-06-20,工作日
2025-06-21,周末
2025-06-22,周末
2025-06-23,工作日
2025-06-24,工作日
2025-06-25,工作日
2025-06-26,工作日
2025-06-27,工作日
2025-06-28,周末
2025-06-29,周末
2025-06-30,工作日
2025-07-01,工作日
2025-07-02,工作日
2025-07-03,工作日
2025-07-04,工作日
2025-07-05,周末
2025-07-06,周末
2025-07-07,工作日
2025-07-08,工作日
2025-07-09,工作日
2025-07-10,工作日
2025-07-11,工作日
2025-07-12,周末
2025-07-13,周末
2025-07-14,工作日
2025-07-15,工作日
2025-07-16,工作日
2025-07-17,工作日
2025-07-18,工作日
2025-07-19,周末
2025-07-20,周末
2025-07-21,工作日
2025-07-22,工作日
2025-07-23,工作日
2025-07-24,工作日
2025-07-25,工作日
2025-07-26,周末
2025-07-27,周末
2025-07-28,工作日
2025-07-29,工作日
2025-07-30,工作日
2025-07-31,工作日
2025-08-01,工作日
2025-08-02,周末
2025-08-03,周末
2025-08-04,工作日
2025-08-05,工作日
2025-08-06,工作日
2025-08-07,工作日
2025-08-08,工作日
2025-08-09,周末
2025-08-10,周末
2025-08-11,工作日
2025-08-12,工作日
2025-08-13,工作日
2025-08-14,工作日
2025-08-15,工作日
2025-08-16,周末
2025-08-17,周末
2025-08-18,工作日
2025-08-19,工作日
2025-08-20,工作日
2025-08-21,工作日
2025-08-22,工作日
2025-08-23,周末
2025-08-24,周末
2025-08-25,工作日
2025-08-26,工作日
2025-08-27,工作日
2025-08-28,工作日
2025-08-29,工作日
2025-08-30,周末
2025-08-31,周末
2025-09-01,工作日
2025-09-02,工作日
2025-09-03,工作日
2025-09-04,工作日
2025-09-05,工作日
2025-09-06,周末
2025-09-07,周末
2025-09-08,工作日
2025-09-09,工作日
2025-09-10,工作日
2025-09-11,工作日
2025-09-12,工作日
2025-09-13,周末
2025-09-14,周末
2025-09-15,工作日
2025-09-16,工作日
2025-09-17,工作日
2025-09-18,工作日
2025-09-19,工作日
2025-09-20,周末
2025-09-21,周末
2025-09-22,工作日
2025-09-23,工作日
2025-09-24,工作日
2025-09-25,工作日
2025-09-26,工作日
2025-09-27,周末
2025-09-28,工作日
2025-09-29,工作日
2025-09-30,工作日
2025-10-01,节假日
2025-10-02,节假日
2025-10-03,节假日
2025-10-04,节假日
2025-10-05,节假日
2025-10-06,节假日
2025-10-07,节假日
2025-10-08,节假日
2025-10-09,工作日
2025-10-10,工作日
2025-10-11,工作日
2025-10-12,周末
2025-10-13,工作日
2025-10-14,工作日
2025-10-15,工作日
2025-10-16,工作日
2025-10-17,工作日
2025-10-18,周末
2025-10-19,周末
2025-10-20,工作日
2025-10-21,工作日
2025-10-22,工作日
2025-10-23,工作日
2025-10-24,工作日
2025-10-25,周末
2025-10-26,周末
2025-10-27,工作日
2025-10-28,工作日
2025-10-29,工作日
2025-10-30,工作日
2025-10-31,工作日
2025-11-01,周末
2025-11-02,周末
2025-11-03,工作日
2025-11-04,工作日
2025-11-05,工作日
2025-11-06,工作日
2025-11-07,工作日
2025-11-08,周末
2025-11-09,周末
2025-11-10,工作日
2025-11-11,工作日
2025-11-12,工作日
2025-11-13,工作日
2025-11-14,工作日
2025-11-15,周末
2025-11-16,周末
2025-11-17,工作日
2025-11-18,工作日
2025-11-19,工作日
2025-11-20,工作日
2025-11-21,工作日
2025-11-22,周末
2025-11-23,周末
2025-11-24,工作日
2025-11-25,工作日
2025-11-26,工作日
2025-11-27,工作日
2025-11-28,工作日
2025-11-29,周末
2025-11-30,周末
2025-12-01,工作日
2025-12-02,工作日
2025-12-03,工作日
2025-12-04,工作日
2025-12-05,工作日
2025-12-06,周末
2025-12-07,周末
2025-12-08,工作日
2025-12-09,工作日
2025-12-10,工作日
2025-12-11,工作日
2025-12-12,工作日
2025-12-13,周末
2025-12-14,周末
2025-12-15,工作日
2025-12-16,工作日
2025-12-17,工作日
2025-12-18,工作日
2025-12-19,工作日
2025-12-20,周末
2025-12-21,周末
2025-12-22,工作日
2025-12-23,工作日
2025-12-24,工作日
2025-12-25,工作日
2025-12-26,工作日
2025-12-27,周末
2025-12-28,周末
2025-12-29,工作日
2025-12-30,工作日
2025-12-31,工作日
